wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
412.0,38.534660477574185,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
440.0,27.088172000953183,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
488.0,16.68021700085072,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
510.0,14.323257835157726,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
532.0,12.334278291259235,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
555.0,10.987125652225153,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
650.0,7.418023780722788,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
676.0,6.792468311706947,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
715.0,6.234234165077995,13.4,AC9_071418_bai_fil_a_1_T13_4,bai,fil,a,071418,1
412.0,37.411076557033,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
440.0,25.45495384492802,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
488.0,14.676415586004506,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
510.0,12.119158078319705,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
532.0,10.100629549187108,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
555.0,8.670940580649098,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
650.0,4.892360368261096,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
676.0,4.306350937938123,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
715.0,3.6044287061225937,19.2,AC9_071418_bai_fil_a_2_T19_2,bai,fil,a,071418,2
412.0,36.071603565494435,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
440.0,24.08974861532457,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
488.0,13.351450082345677,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
510.0,10.71553564892942,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
532.0,8.682007602139523,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
555.0,7.22224792412493,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
650.0,3.452756264123949,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
676.0,2.872472480693884,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
715.0,2.2331692207644416,18.5,AC9_071418_bai_fil_a_3_T18_5,bai,fil,a,071418,3
412.0,40.901133286082676,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
440.0,28.886164031950717,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
488.0,18.43865684298348,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
510.0,15.727448399463107,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
532.0,13.955156574586814,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
555.0,12.53574326660701,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
650.0,8.920861984735216,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
676.0,8.173099451152755,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
715.0,7.698528404463631,13.4,AC9_071418_bai_fil_c_1_T13_4,bai,fil,c,071418,1
412.0,40.24231013407272,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
440.0,28.249860472608553,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
488.0,17.74761725486336,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
510.0,15.310743556012714,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
532.0,12.965367207996056,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
555.0,11.398871645185821,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
650.0,7.515062551853679,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
676.0,7.035260161710133,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
715.0,6.8640578407048,19.2,AC9_071418_bai_fil_c_2_T19_2,bai,fil,c,071418,2
412.0,36.75492294071969,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
440.0,24.494377912331963,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
488.0,13.574724896635205,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
510.0,11.1502028013693,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
532.0,9.0188253912499,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
555.0,7.501052981214002,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
650.0,3.740741320781496,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
676.0,3.0287439890623684,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
715.0,2.4579481967103614,18.5,AC9_071418_bai_fil_c_3_T18_5,bai,fil,c,071418,3
412.0,44.37935502018573,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
440.0,32.21479560856554,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
488.0,20.903918336326672,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
510.0,17.93050552337094,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
532.0,15.596883056028865,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
555.0,14.100558426817095,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
650.0,9.988099586153961,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
676.0,9.504139495586767,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
715.0,8.46913487719702,19.8,AC9_071418_bai_raw_a_1_T19_8,bai,raw,a,071418,1
412.0,43.768110435164445,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
440.0,31.408374878633012,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
488.0,20.02949967316085,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
510.0,17.288728641275434,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
532.0,15.04471702464602,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
555.0,13.608890586607066,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
650.0,9.685323606409025,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
676.0,8.961351645374215,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
715.0,7.9060696646438835,19.8,AC9_071418_bai_raw_a_2_T19_8,bai,raw,a,071418,2
412.0,43.53482429368629,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
440.0,31.034027241805465,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
488.0,19.831304464115494,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
510.0,16.988684033108658,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
532.0,14.696093722954322,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
555.0,13.068547433837715,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
650.0,9.17959658571518,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
676.0,8.567937182696506,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
715.0,7.5146478359846105,17.8,AC9_071418_bai_raw_a_3_T17_8,bai,raw,a,071418,3
412.0,64.82306487347263,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
440.0,52.323917224280635,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
488.0,40.84529740047296,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
510.0,37.36020364682693,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
532.0,34.982658453685445,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
555.0,33.575900172644864,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
650.0,29.026037338194705,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
676.0,26.794209468269614,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
715.0,26.814192305084713,19.8,AC9_071418_bai_raw_c_1_T19_8,bai,raw,c,071418,1
412.0,62.398800485875704,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
440.0,48.62975246646617,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
488.0,36.843627982868576,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
510.0,33.74370257280847,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
532.0,31.314325689994536,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
555.0,29.04829344058683,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
650.0,26.22578109513393,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
676.0,23.69579412055769,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
715.0,24.1384108373428,19.8,AC9_071418_bai_raw_c_2_T19_8,bai,raw,c,071418,2
412.0,62.32043828461792,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
440.0,50.08768041420875,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
488.0,38.62975632938918,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
510.0,35.31156968355022,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
532.0,33.302605799316176,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
555.0,31.54897155071216,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
650.0,26.756459849991387,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
676.0,24.69756832171411,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
715.0,24.923013898698677,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
412.0,8.847304928592315,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
440.0,5.478308151397417,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
488.0,2.7810848927840333,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
510.0,2.264559517483394,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
532.0,1.8513284121413955,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
555.0,1.5415642604097637,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
650.0,0.9680614483853444,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
676.0,0.8876091474644767,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
715.0,0.8143942323002651,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
