wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
412.0,0.2749111532125212,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
440.0,0.21834457990115325,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
488.0,0.1877096046128501,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
510.0,0.1833297528830314,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
532.0,0.1815570181219112,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
555.0,0.1752245304777594,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
650.0,0.18278028006589786,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
676.0,0.1814822899505768,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
715.0,0.200071680395387,24.0,AC9_070319_sea_cal_a_0_T24_0,sea,cal,a,070319,0
412.0,0.3052109762532981,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
440.0,0.23956189973614786,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
488.0,0.20677246701846969,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
510.0,0.2015898680738787,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
532.0,0.19858675461741426,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
555.0,0.19070350923482834,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
650.0,0.19650835092348284,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
676.0,0.1942541292875991,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
715.0,0.21248667546174152,24.5,AC9_070319_sea_cal_a_1_T24_5,sea,cal,a,070319,1
412.0,0.3127945839561536,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
440.0,0.24556956153462864,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
488.0,0.20206693572496304,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
510.0,0.19589616841056312,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
532.0,0.1915537369207776,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
555.0,0.18403032884902815,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
650.0,0.1893927603388142,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
676.0,0.1874094718485301,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
715.0,0.20879536123567527,25.0,AC9_070319_sea_cal_a_2_T25_0,sea,cal,a,070319,2
412.0,0.1854900766283528,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
440.0,0.08339452107279692,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
488.0,0.04106097701149427,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
510.0,0.02564072796934868,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
532.0,0.03762350574712645,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
555.0,0.036104616858237584,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
650.0,-0.17657402298850589,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
676.0,-0.24263668582375464,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
715.0,-0.7378222030651342,24.5,AC9_070319_sea_cal_a_3_T24_5,sea,cal,a,070319,3
412.0,-0.5410792915980236,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
440.0,-0.3374608237232292,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
488.0,-0.19344606260296546,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
510.0,-0.1617006754530478,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
532.0,-0.1389052388797364,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
555.0,-0.13928056013179574,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
650.0,-0.12549902800658974,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
676.0,-0.1108644810543658,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
715.0,-0.09871884678747933,24.0,AC9_070319_sea_cal_c_0_T24_0,sea,cal,c,070319,0
412.0,-0.5281246306068604,24.5,AC9_070319_sea_cal_c_1_T24_5,sea,cal,c,070319,1
