Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site
a	070718	AC9_070718_sea_cal_a_1_T20_6	1	cal	AC9	sea
a	070718	AC9_070718_sea_cal_a_2_T20_9	2	cal	AC9	sea
a	070718	AC9_070718_sea_cal_a_3_T20_9	3	cal	AC9	sea
c	070718	AC9_070718_sea_cal_c_1_T20_6	1	cal	AC9	sea
c	070718	AC9_070718_sea_cal_c_2_T20_6	2	cal	AC9	sea
c	070718	AC9_070718_sea_cal_c_3_T20_6	3	cal	AC9	sea
a	071318	AC9_071318_bai_cal_a_1_T23_8	1	cal	AC9	bai
a	071318	AC9_071318_bai_cal_a_2_T24_1	2	cal	AC9	bai
a	071318	AC9_071318_bai_cal_a_3_T24_0	3	cal	AC9	bai
c	071318	AC9_071318_bai_cal_c_1_T23_7	1	cal	AC9	bai
c	071318	AC9_071318_bai_cal_c_2_T23_8	2	cal	AC9	bai
c	071318	AC9_071318_bai_cal_c_3_T23_9	3	cal	AC9	bai
a	071318	AC9_071318_fai_cal_a_1_T23_8	1	cal	AC9	fai
a	071318	AC9_071318_fai_cal_a_2_T24_1	2	cal	AC9	fai
a	071318	AC9_071318_fai_cal_a_3_T24_0	3	cal	AC9	fai
c	071318	AC9_071318_fai_cal_c_1_T23_7	1	cal	AC9	fai
c	071318	AC9_071318_fai_cal_c_2_T23_8	2	cal	AC9	fai
c	071318	AC9_071318_fai_cal_c_3_T23_9	3	cal	AC9	fai
a	071418	AC9_071418_bai_fil_a_1_T13_4	1	fil	AC9	bai
a	071418	AC9_071418_bai_fil_a_2_T19_2	2	fil	AC9	bai
a	071418	AC9_071418_bai_fil_a_3_T18_5	3	fil	AC9	bai
c	071418	AC9_071418_bai_fil_c_1_T13_4	1	fil	AC9	bai
c	071418	AC9_071418_bai_fil_c_2_T19_2	2	fil	AC9	bai
c	071418	AC9_071418_bai_fil_c_3_T18_5	3	fil	AC9	bai
a	071418	AC9_071418_bai_raw_a_1_T19_8	1	raw	AC9	bai
a	071418	AC9_071418_bai_raw_a_2_T19_8	2	raw	AC9	bai
a	071418	AC9_071418_bai_raw_a_3_T17_8	3	raw	AC9	bai
c	071418	AC9_071418_bai_raw_c_1_T19_8	1	raw	AC9	bai
c	071418	AC9_071418_bai_raw_c_2_T19_8	2	raw	AC9	bai
c	071418	AC9_071418_bai_raw_c_3_T17_8	3	raw	AC9	bai
a	071618	AC9_071618_can_cal_a_1_T19_3	1	cal	AC9	can
a	071618	AC9_071618_can_cal_a_2_T19_9	2	cal	AC9	can
a	071618	AC9_071618_can_cal_a_3_T19_0	3	cal	AC9	can
c	071618	AC9_071618_can_cal_c_1_T19_3	1	cal	AC9	can
c	071618	AC9_071618_can_cal_c_2_T19_9	2	cal	AC9	can
c	071618	AC9_071618_can_cal_c_3_T19_0	3	cal	AC9	can
a	071618	AC9_071618_cbr_cal_a_1_T19_9	1	cal	AC9	cbr
a	071618	AC9_071618_cbr_cal_a_2_T19_3	2	cal	AC9	cbr
a	071618	AC9_071618_cbr_cal_a_3_T19_0	3	cal	AC9	cbr
c	071618	AC9_071618_cbr_cal_c_1_T19_9	1	cal	AC9	cbr
c	071618	AC9_071618_cbr_cal_c_2_T19_3	2	cal	AC9	cbr
c	071618	AC9_071618_cbr_cal_c_3_T19_0	3	cal	AC9	cbr
a	071618	AC9_071618_cbr_fil_a_1_T17_5	1	fil	AC9	cbr
a	071618	AC9_071618_cbr_fil_a_2_T17_5	2	fil	AC9	cbr
a	071618	AC9_071618_cbr_fil_a_3_T17_5	3	fil	AC9	cbr
c	071618	AC9_071618_cbr_fil_c_1_T17_5	1	fil	AC9	cbr
c	071618	AC9_071618_cbr_fil_c_2_T17_5	2	fil	AC9	cbr
c	071618	AC9_071618_cbr_fil_c_3_T17_5	3	fil	AC9	cbr
a	071618	AC9_071618_cbr_raw_a_1_T17_5	1	raw	AC9	cbr
a	071618	AC9_071618_cbr_raw_a_2_T17_5	2	raw	AC9	cbr
a	071618	AC9_071618_cbr_raw_a_3_T17_5	3	raw	AC9	cbr
c	071618	AC9_071618_cbr_raw_c_1_T17_5	1	raw	AC9	cbr
c	071618	AC9_071618_cbr_raw_c_2_T17_5	2	raw	AC9	cbr
c	071618	AC9_071618_cbr_raw_c_3_T17_5	3	raw	AC9	cbr
a	071718	AC9_071718_9mi_cal_a_1_T19_0	1	cal	AC9	9mi
c	071718	AC9_071718_9mi_cal_c_1_T19_0	1	cal	AC9	9mi
a	071718	AC9_071718_9mi_fil_a_1_T15_4	1	fil	AC9	9mi
a	071718	AC9_071718_9mi_fil_a_2_T15_4	2	fil	AC9	9mi
a	071718	AC9_071718_9mi_fil_a_3_T15_1	3	fil	AC9	9mi
c	071718	AC9_071718_9mi_fil_c_1_T15_4	1	fil	AC9	9mi
c	071718	AC9_071718_9mi_fil_c_2_T15_4	2	fil	AC9	9mi
c	071718	AC9_071718_9mi_fil_c_3_T15_1	3	fil	AC9	9mi
