Analysis_Type	Date	ID	Raw_File_Path	Rep	Sample_Type	Sensor	Site	Temp	Cleaned_raw_file_path	Summary_file_path	Conf	Pass_Manual_Removal	Summary_file_path_cleaned_MANUAL	Pass_Second_Removal	Summary_file_path_cleaned_SECOND
a	070718	AC9_070718_sea_cal_a_1_T20_6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_a_1_T20_6.dat	1	cal	AC9	sea	20.6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_a_1_T20_6.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_a_1_T20_6.csv	0.0213939245389	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_a_1_T20_6.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_a_1_T20_6.csv
a	070718	AC9_070718_sea_cal_a_2_T20_9	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_a_2_T20_9.dat	2	cal	AC9	sea	20.9	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_a_2_T20_9.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_a_2_T20_9.csv	0.000588413708608	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_a_2_T20_9.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_a_2_T20_9.csv
a	070718	AC9_070718_sea_cal_a_3_T20_9	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_a_3_T20_9.dat	3	cal	AC9	sea	20.9	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_a_3_T20_9.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_a_3_T20_9.csv	0.000553458547682	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_a_3_T20_9.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_a_3_T20_9.csv
c	070718	AC9_070718_sea_cal_c_1_T20_6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_c_1_T20_6.dat	1	cal	AC9	sea	20.6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_c_1_T20_6.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_c_1_T20_6.csv	0.000295838113378	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_c_1_T20_6.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_c_1_T20_6.csv
c	070718	AC9_070718_sea_cal_c_2_T20_6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_c_2_T20_6.dat	2	cal	AC9	sea	20.6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_c_2_T20_6.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_c_2_T20_6.csv	0.554331500608	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_c_2_T20_6.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_c_2_T20_6.csv
c	070718	AC9_070718_sea_cal_c_3_T20_6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_070718_sea_cal_c_3_T20_6.dat	3	cal	AC9	sea	20.6	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_070718_sea_cal_c_3_T20_6.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_070718_sea_cal_c_3_T20_6.csv	0.000291070872568	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_070718_sea_cal_c_3_T20_6.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_070718_sea_cal_c_3_T20_6.csv
a	071318	AC9_071318_bai_cal_a_1_T23_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071318_bai_cal_a_1_T23_8.dat	1	cal	AC9	bai	23.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071318_bai_cal_a_1_T23_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071318_bai_cal_a_1_T23_8.csv	0.000526745867444	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071318_bai_cal_a_1_T23_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071318_bai_cal_a_1_T23_8.csv
a	071318	AC9_071318_bai_cal_a_2_T24_1	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071318_bai_cal_a_2_T24_1.dat	2	cal	AC9	bai	24.1	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071318_bai_cal_a_2_T24_1.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071318_bai_cal_a_2_T24_1.csv	0.000568501179525	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071318_bai_cal_a_2_T24_1.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071318_bai_cal_a_2_T24_1.csv
a	071318	AC9_071318_bai_cal_a_3_T24_0	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071318_bai_cal_a_3_T24_0.dat	3	cal	AC9	bai	24.0	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071318_bai_cal_a_3_T24_0.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071318_bai_cal_a_3_T24_0.csv	0.000508447957691	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071318_bai_cal_a_3_T24_0.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071318_bai_cal_a_3_T24_0.csv
c	071318	AC9_071318_bai_cal_c_1_T23_7	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071318_bai_cal_c_1_T23_7.dat	1	cal	AC9	bai	23.7	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071318_bai_cal_c_1_T23_7.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071318_bai_cal_c_1_T23_7.csv	0.000343665616288	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071318_bai_cal_c_1_T23_7.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071318_bai_cal_c_1_T23_7.csv
